제목,작성일,본문내용,링크,사진
"특별재난지역（가평군, 서산시, 예산군, 담양군, 합천군, 산청군） 선포에 따른 예비군 훈련 면제 지침 안내",2025.07.25,"강원대학교 삼척캠퍼스 예비군연대입니다.
＇25년 7월 23일 부 집중호우로 아래 6곳의 지역이 특별재난지역으로 선포되었습니다.
* 특별재난지역 : 가평군, 서산시, 예산군, 담양군, 합천군, 산청군
특별재난지역으로 선포된 지역에서 피해를 입은 예비군은 당해 년도 예비군훈련 중 이월훈련을 제외한 잔여훈련을 면제받습니다.
피해를 입으신 예비군은 지자체에서 발행하는 ＇피해사실 확인서＇를 발급 받아 강원영동지방병무지청 또는 교내에 위치한 예비군연대（제2학생회관 205호）로 제출하시면 됩니다.
예비군이 특별재난지역에 거주하지 않더라도 특별재난지역에 거주하는 부모 또는 자녀가 피해를 입은 경우에도 동일하게 적용이 가능하니 이에 해당하는 분은 가족관계증명서도 함께 제출 바랍니다.",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180690&&pageUnit=10&key=277&pageIndex=1,
2025학년도 하계방학 통학버스 운행시간표 안내（삼척캠퍼스）,2025.06.17,"2025학년도 하계방학 중 통학버스 운행 시간표를 알려드리니 참고바랍니다.
○ 운행기간 : 2025. 6. 24.（화） ~ 8. 29.（금） / 주말 및 공휴일 미운행
○ 운행 주요내용
- 시내순환 : 1회
- 삼척↔도계캠퍼스 : 4회（왕복 2회）
○ 행정사항
- 버스노선 경유지 외에는 승하차 불가
※ 위 통학버스 운행노선 및 시간표는 상황에 따라 변경될 수 있음",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=179756&&pageUnit=10&key=277&pageIndex=1,
[공고] 「2025년 강원춘천 강소연구개발특구 지역특성화 육성사업」 맞춤형 수출바우처 지원사업 수혜기업 모집 공고,2025.07.28,"「2025년 강원춘천 강소연구개발특구 지역특성화 육성사업」 중 맞춤형 수출바우처 지원사업（특화개별사업）을 다음과 같이 공고하오니, 사업에 관심 있는 기업의 많은 참여 바랍니다.
2025년 7월 28일
강원춘천 강소연구개발특구사업단장",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180730&&pageUnit=10&key=277&pageIndex=1,
"[공고] 「2025년 강원춘천 강소연구개발특구 지역특성화 육성사업」 Growth Package A, B 지원사업 수혜기업 모집 공고",2025.07.28,"「2025년 강원춘천 강소연구개발특구 지역특성화 육성사업」 중 Growth Package A, B 지원사업（특화개별사업）을 다음과 같이 공고하오니, 사업에 관심 있는 기업의 많은 참여 바랍니다.
2025년 7월 28일
강원춘천 강소연구개발특구사업단장",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180729&&pageUnit=10&key=277&pageIndex=1,
5대 반칙운전 근절 및 PM 안전하게 즐기기 카드뉴스 안내,2025.07.28,"1. 관련 : 강원특별자치도경찰청 교통과-8204（2025.7.25.） 호 관련입니다.
2. 강원특별자치도경찰청에서는 ＇기초질서 확립＇을 위해 강원도민（강원도 소재 대학교 재학생） 등을 대상으로 ＇5대 반칙운전 근절＇ 및 ＇PM, 안전하게 즐기기＇ 내용이 담긴 카드뉴스 홍보를 요청해 왔습니다.
3. 이에 관련된 내용을 안내드리니 참고하시고 특히 7~8월까지는 계도기간으로 운영되나 개강이후 9월~12월까지는 집중단속기간으로 운영되니 이점 유의하여 주시기 바라며, 학내 안전환경 조성을 위해 특히, PM운영시 안전모 착용, 2인 탑승금지, 무면허 운전 등으로 인한 처벌에 유의하여 주시기 바랍니다.
붙임 1. 기초질서 지키기 카드뉴스 1부.
2. 개인형 이동장치 안전하게 즐겨요 카드뉴스 1부.",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180723&&pageUnit=10&key=277&pageIndex=1,https://kchatsotrage.blob.core.windows.net/images/main/main_5%EB%8C%80%EB%B0%98%EC%B9%99%EC%9A%B4%EC%A0%84%EA%B7%BC%EC%A0%88%EB%B0%8Fpm%EC%95%88%EC%A0%84%ED%95%98%EA%B2%8C%EC%A6%90%EA%B8%B0%EA%B8%B0%EC%B9%B4%EB%93%9C%EB%89%B4%EC%8A%A4%EC%95%88%EB%82%B4_20250728_0.jpg;https://kchatsotrage.blob.core.windows.net/images/main/main_5%EB%8C%80%EB%B0%98%EC%B9%99%EC%9A%B4%EC%A0%84%EA%B7%BC%EC%A0%88%EB%B0%8Fpm%EC%95%88%EC%A0%84%ED%95%98%EA%B2%8C%EC%A6%90%EA%B8%B0%EA%B8%B0%EC%B9%B4%EB%93%9C%EB%89%B4%EC%8A%A4%EC%95%88%EB%82%B4_20250728_1.jpg
저탄소/에너지 기술 컨소시엄 하계 프로그램 참가학생 모집 안내,2025.07.28,"창의융합형공학인재양성지원사업 저탄소/에너지 기술 컨소시엄에서 하계방학동안 공학대학 재학생들을 위하여 다양한 경험을 할 수 있도록 공동프로그램을 계획하였습니다. 공학대학 재학생분들의 많은 관심과 참여 바랍니다.
1. 기간 : 7월 초 ~ 8월 말（프로그램 별 상이）
2. 프로그램 : 총 5가지 프로그램 （첨부 파일 참조）
- 비대면 / 대면 프로그램
- 프로그램 별 장소 확인
3. 대상 : 삼척·도계 캠퍼스 소속 공학대학 재학생
4. 신청방법 : QR코드 신청（링크: https://forms.gle/JgPcWrgqKW9Ee95F6）
** 저탄소/에너지기술 컨소시엄 : 고려대학교, 강원대학교（삼척）, 서울대학교, 서울시립대학교, 울산대학교, 연세대학교, 이화여자대학교, 홍익대학교 등 8개 대학 구성
** 자세한 내용은 첨부파일 반드시 확인",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180721&&pageUnit=10&key=277&pageIndex=1,
특별재난지역（가평군 등 6개 지역） 선포에 따른 예비군훈련 면제 지침 안내,2025.07.28,"- 극한호우에 따라
’25년 7월 22일부 가평군, 서산시, 예산군, 담양군, 산청군, 합천군이
특별재난지역으로 선포되었습니다.
- 특별재난지역으로 선포된 지역에서 피해를 입은 예비군은 당해년도
예비군훈련 중 이월훈련을 제외한 잔여훈련을 면제받습니다.
- 피해를 입으신 예비군은 지자체에서 발행하는 ’피해사실 확인서‘를 발급 받아
（학생예비군훈련）의 경우 강원대 예비군연대（학군단2층）에 제출
（일반예비군훈련）의 경우 해당 주소지 지역예비군부대에 제출
（동원훈련）의 경우 해당 지방병무청으로 제출하시면 되겠습니다.
- 예비군이 특별재난지역에 거주하지 않더라도, 특별재난지역에 거주하는
부모 또는 자녀가 피해를 입은 경우에도 적용이 가능하며,
피해사실 확인서와 가족관계 증명서를 제출하시면 되겠습니다.",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180720&&pageUnit=10&key=277&pageIndex=1,
저탄소/에너지 기술 컨소시엄 반도체 교육 프로그램 참가학생 모집 안내,2025.07.23,"창의융합형공학인재양성지원사업 저탄소/에너지 기술 컨소시엄에서 하계방학동안 공학대학 재학생들을 위하여 다양한 경험을 할 수 있도록 공동프로그램을 계획하였습니다. 공학대학 재학생분들의 많은 관심과 참여 바랍니다.
1. 프로그램 기간
- 2025. 8. 18.（월） ~ 8. 20.（수）, 이론
- 2025. 8. 21.（목） ~ 8. 22.（금）, 심화
* 입문, 심화과정 모두 5일 교육
2. 프로그램 장소 : 고려대학교（안암） 자연계캠퍼스 신공학관
3. 대상
- 삼척·도계 캠퍼스 소속 공학대학 재학생 3,4학년
- 대학원생
- 졸업 후 미취업자（졸업생）
4. 수강인원: 10명 내외（선착순 접수, 10명 이후 신청자는 대기자로 등록）
5. 프로그램 내용
- （입문） 반도체를 몰라도 이해할 수 있는 트랜지스터 소자/공정 및 실습
- （심화） 예비 반도체 엔지니어를 위한 트랜지스터 소자/회로 및 실습
6. 신청방법 : QR코드 신청（링크: https://forms.gle/GT9wfeCeuJESLEzL6）
7. 참가혜택
- 교육비 무료
- 교재 및 중식 제공
- 한국반도체산업협회장 명의의 수료증 발급
** 자세한 내용은 첨부파일 반드시 확인",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180648&&pageUnit=10&key=277&pageIndex=1,
생활협동조합 문구점 환경 개선 공사 안내,2025.07.22,문구점 환경 개선 공사 안내,https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180607&&pageUnit=10&key=277&pageIndex=1,https://kchatsotrage.blob.core.windows.net/images/main/main_%EC%83%9D%ED%99%9C%ED%98%91%EB%8F%99%EC%A1%B0%ED%95%A9%EB%AC%B8%EA%B5%AC%EC%A0%90%ED%99%98%EA%B2%BD%EA%B0%9C%EC%84%A0%EA%B3%B5%EC%82%AC%EC%95%88%EB%82%B4_20250722_0.jpg
[대학원혁신과] 2025학년도 여름학기 찾아가는 논문 AI 통계 특강 신청 안내,2025.07.22,"대학원혁신과에서는 4단계 BK21 대학원혁신지원사업의 일환으로,
논문작성 및 연구를 위한 통계 분석을 AI를 활용해 쉽게 접근하고 활용할 수 있도록
2025학년도 여름학기 찾아가는 논문 AI 통계 특강을 진행하고자 합니다.
이에 관심 있는 대학원생께서는 많은 참여 바랍니다.
지원 대상
• BK21참여대학원생 및 일반대학원 재학생 30명 내외
사업 내용
• 논문 작성 및 연구에 필요한 AI, ChatGPT를 활용한 통계 분석 방법 및 프로그래밍 언어를 활용한 통계 분석 실습 강의
운영 기간: 2025. 8. 5.（화） ~ 8.6.（수） ※비숙박
운영 장소
• 강원대학교 춘천캠퍼스 인문대학 1호관 103호
운영 방법
• AI 활용 및 통계 분석 전문가를 초빙하여 전산 교육 진행
※ 수강생 개인 노트북 지참 및 개발도구（R） 사전 설치 필요
신청 기간
• 2025. 7. 21.（월） ~ 7. 28.（월） ※ 선착순 모집
신청 방법
• 구글 폼을 통한 선착순 신청（https://url.kr/i5pwwc）
※ 선발 이후 회신이 없거나 부재의 경우 차순위 선발
수료 혜택
• 대학원생 비교과 마일리지 부여
※ 모든 교육 일정 충족 시 수료 인정
자세한 교육 내용은 첨부된 파일을 확인해 주시기 바랍니다.",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180596&&pageUnit=10&key=277&pageIndex=1,https://kchatsotrage.blob.core.windows.net/images/main/main_2025%ED%95%99%EB%85%84%EB%8F%84%EC%97%AC%EB%A6%84%ED%95%99%EA%B8%B0%EC%B0%BE%EC%95%84%EA%B0%80%EB%8A%94%EB%85%BC%EB%AC%B8ai%ED%86%B5%EA%B3%84%ED%8A%B9%EA%B0%95%EC%8B%A0%EC%B2%AD%EC%95%88%EB%82%B4_20250722_0.png;https://kchatsotrage.blob.core.windows.net/images/main/main_2025%ED%95%99%EB%85%84%EB%8F%84%EC%97%AC%EB%A6%84%ED%95%99%EA%B8%B0%EC%B0%BE%EC%95%84%EA%B0%80%EB%8A%94%EB%85%BC%EB%AC%B8ai%ED%86%B5%EA%B3%84%ED%8A%B9%EA%B0%95%EC%8B%A0%EC%B2%AD%EC%95%88%EB%82%B4_20250722_1.png;https://kchatsotrage.blob.core.windows.net/images/main/main_2025%ED%95%99%EB%85%84%EB%8F%84%EC%97%AC%EB%A6%84%ED%95%99%EA%B8%B0%EC%B0%BE%EC%95%84%EA%B0%80%EB%8A%94%EB%85%BC%EB%AC%B8ai%ED%86%B5%EA%B3%84%ED%8A%B9%EA%B0%95%EC%8B%A0%EC%B2%AD%EC%95%88%EB%82%B4_20250722_2.png
[공고] 2025년 강원춘천 강소연구개발특구 지역특성화 육성사업 시행 통합공고,2025.07.21,"강원춘천 강소연구개발특구에서는 지역 기업의 성장 및 산업 발전 도모를 위하여 「2025년 강원춘천 강소연구개발특구」 지역특성화 육성사업을 다음과 같이 시행 및 공고하오니, 관심있는 기업 및 관계자의 많은 참여 바랍니다.
2025년 7월 21일
강원춘천 강소연구개발특구사업단장",https://www.kangwon.ac.kr/www/selectBbsNttView.do?bbsNo=81&nttNo=180586&&pageUnit=10&key=277&pageIndex=1,
